EventID,Time_UTC,Lat,Lon,Depth_km,MagType,Mag,Region
20260608_0000419,2026-06-08T19:24:41.58Z,5.0346,124.7974,5.4,mb,4.8,MINDANAO, PHILIPPINES
20260608_0000425,2026-06-08T19:46:56.0Z,4.83,125.35,5.0,m,3.9,KEPULAUAN SANGIHE, INDONESIA
20260608_0000427,2026-06-08T19:53:54.0Z,3.86,126.99,36.0,m,3.9,KEPULAUAN TALAUD, INDONESIA
20260608_0000429,2026-06-08T20:03:04.0Z,5.03,125.4,10.0,m,3.9,MINDANAO, PHILIPPINES
20260608_0000437,2026-06-08T20:20:01.0Z,5.58,126.0,11.0,m,3.3,MINDANAO, PHILIPPINES
20260608_0000435,2026-06-08T20:30:23.0Z,5.34,125.38,10.0,m,3.8,MINDANAO, PHILIPPINES
20260608_0000440,2026-06-08T20:39:13.0Z,5.0,125.45,4.0,m,3.7,MINDANAO, PHILIPPINES
20260608_0000443,2026-06-08T20:46:03.0Z,5.45,125.4,10.0,m,3.9,MINDANAO, PHILIPPINES
20260608_0000442,2026-06-08T20:49:15.0Z,5.56,124.9,10.0,m,3.6,MINDANAO, PHILIPPINES
20260608_0000452,2026-06-08T20:55:11.0Z,5.36,125.37,10.0,m,4.3,MINDANAO, PHILIPPINES
20260608_0000459,2026-06-08T21:15:38.0Z,7.61,127.02,12.0,m,3.3,PHILIPPINE ISLANDS REGION
20260608_0000468,2026-06-08T21:37:50.0Z,4.91,125.48,122.0,m,3.7,KEPULAUAN SANGIHE, INDONESIA
20260608_0000472,2026-06-08T21:45:32.0Z,5.88,124.57,127.0,m,4.3,MINDANAO, PHILIPPINES
20260608_0000480,2026-06-08T21:58:47.0Z,5.43,124.52,3.0,m,3.9,MINDANAO, PHILIPPINES
20260608_0000481,2026-06-08T22:17:05.0Z,5.19,125.44,10.0,m,4.3,MINDANAO, PHILIPPINES
20260608_0000482,2026-06-08T22:20:36.0Z,5.35,125.43,8.0,m,3.8,MINDANAO, PHILIPPINES
20260608_0000490,2026-06-08T22:30:44.0Z,5.21,124.79,1.0,m,3.7,MINDANAO, PHILIPPINES
20260608_0000491,2026-06-08T22:38:04.06Z,5.5384,125.1798,57.0,mb,4.9,MINDANAO, PHILIPPINES
20260608_0000494,2026-06-08T22:43:50.0Z,5.45,125.17,19.0,m,3.0,MINDANAO, PHILIPPINES
20260608_0000492,2026-06-08T22:49:47.0Z,4.75,125.63,10.0,m,3.6,KEPULAUAN SANGIHE, INDONESIA
20260608_0000495,2026-06-08T23:00:47.0Z,4.98,125.64,88.0,m,3.8,KEPULAUAN SANGIHE, INDONESIA
20260608_0000500,2026-06-08T23:14:23.0Z,5.83,126.37,89.0,m,3.3,MINDANAO, PHILIPPINES
20260608_0000501,2026-06-08T23:21:40.0Z,4.18,126.21,10.0,m,4.0,KEPULAUAN TALAUD, INDONESIA
20260608_0000506,2026-06-08T23:38:19.46Z,5.5845,125.4554,13.1,mb,5.1,MINDANAO, PHILIPPINES
